time,seconds_elapsed,z,y,x
1717012781086275800,0.12127587890625,-0.81454998254776,-1.0674124956130981,-0.03368749842047691
1717012781096162600,0.13116259765625,-0.7964000105857849,-1.1015125513076782,0.002474999986588955
1717012781106049500,0.141049560546875,-0.6602749824523926,-1.2611500024795532,0.10779999941587448
1717012781115934500,0.1509345703125,-0.39627498388290405,-1.3781625032424927,0.15152500569820404
1717012781125819100,0.160819091796875,-0.12168750166893005,-1.1940499544143677,0.08552499860525131
1717012781135703800,0.170703857421875,0.10381250083446503,-0.8610249757766724,-0.04647500067949295
1717012781145588500,0.18058837890625,0.24860000610351562,-0.6055499911308289,-0.2209624946117401
1717012781155473200,0.19047314453125,0.32202500104904175,-0.4661250114440918,-0.3689124882221222
1717012781165358000,0.200358154296875,0.26028749346733093,-0.43738749623298645,-0.40933749079704285
1717012781175242800,0.21024267578125,0.035750001668930054,-0.5300624966621399,-0.36781248450279236
1717012781185127400,0.22012744140625,-0.28888750076293945,-0.6450124979019165,-0.27211248874664307
1717012781195012000,0.23001220703125,-0.5303375124931335,-0.7545999884605408,-0.133650004863739
1717012781204896800,0.239896728515625,-0.3143250048160553,-0.8960874676704407,0.04619999974966049
1717012781214781700,0.24978173828125,0.3698749840259552,-0.9322500228881836,0.256850004196167
1717012781224666400,0.259666259765625,0.491287499666214,-0.9674500226974487,0.3484250009059906
1717012781234551000,0.269551025390625,0.00494999997317791,-1.1695749759674072,0.14836250245571136
1717012781244435700,0.279435791015625,-0.44632500410079956,-1.224987506866455,-0.0635249987244606
1717012781254320400,0.2893203125,-0.5590749979019165,-0.8747749924659729,-0.020899999886751175
1717012781264205300,0.299205322265625,-0.49953749775886536,-0.36932501196861267,0.1163249984383583
1717012781274090000,0.309090087890625,-0.455949991941452,-0.1522125005722046,0.13021250069141388
1717012781283975000,0.318974853515625,-0.46447500586509705,-0.15331250429153442,0.016362499445676804
1717012781293859600,0.328859619140625,-0.4452250003814697,-0.16499999165534973,-0.08799999952316284
1717012781303744500,0.33874462890625,-0.3973749876022339,-0.3619000017642975,-0.116737499833107
1717012781313629200,0.348629150390625,-0.2866874933242798,-0.8237624764442444,-0.1699499934911728
1717012781323513600,0.358513671875,-0.0035749999806284904,-1.5101624727249146,-0.23691250383853912
1717012781333398500,0.3683984375,0.09212499856948853,-1.7241125106811523,-0.3465000092983246
1717012781343283200,0.378283203125,0.05389999970793724,-1.1131999492645264,-0.4987125098705292
1717012781353168100,0.388168212890625,0.15812499821186066,-0.1714625060558319,-0.6987749934196472
1717012781363052800,0.398052734375,0.32202500104904175,0.4542999863624573,-0.9286749958992004
1717012781372937500,0.4079375,0.3231250047683716,0.5395500063896179,-1.1042624711990356
1717012781382822400,0.417822509765625,0.16981250047683716,0.3139125108718872,-1.1978999376296997
1717012781392706800,0.427706787109375,-0.03451250120997429,-0.1788875013589859,-1.2425874471664429
1717012781402591700,0.437591796875,-0.24626250565052032,-0.8855000138282776,-1.2735249996185303
1717012781412476400,0.447476318359375,-0.4059000015258789,-1.6484874486923218,-1.2989624738693237
1717012781422361300,0.457361328125,-0.4292750060558319,-2.320037603378296,-1.3341624736785889
1717012781432246000,0.46724609375,-0.3250499963760376,-2.8692123889923096,-1.3979624509811401
1717012781442131000,0.477130859375,-0.1461624950170517,-3.2938125133514404,-1.510849952697754
1717012781452015600,0.487015625,0.1868624985218048,-3.799262523651123,-1.6087499856948853
1717012781461900300,0.496900390625,0.5944125056266785,-4.052537441253662,-1.7524374723434448
1717012781471785000,0.506784912109375,0.7497875094413757,-3.2597124576568604,-2.4164249897003174
1717012781481670000,0.516669921875,0.6785625219345093,-1.944387435913086,-3.5413124561309814
1717012781491554600,0.526554443359375,0.5317124724388123,-0.9205625057220459,-4.357512474060059
1717012781501439500,0.536439453125,0.40933749079704285,-0.1266375035047531,-5.070587635040283
1717012781511324200,0.54632421875,0.3550249934196472,0.3053874969482422,-5.743100166320801
1717012781521209000,0.556208984375,0.3348124921321869,0.41923749446868896,-6.328437328338623
1717012781531093800,0.56609375,0.19648750126361847,0.42666250467300415,-6.799924850463867
1717012781540978400,0.575978515625,-0.13021250069141388,0.3713875114917755,-7.086199760437012
1717012781550863000,0.585863037109375,-0.49527499079704285,0.15001249313354492,-7.090462684631348
1717012781560747800,0.595747802734375,-0.7379624843597412,-0.14368750154972076,-6.90098762512207
1717012781570632700,0.6056328125,-1.0049874782562256,-0.5354250073432922,-6.824399948120117
1717012781580517400,0.615517333984375,-1.521162509918213,-1.0514625310897827,-6.9627251625061035
1717012781590402300,0.62540234375,-2.4022624492645264,-1.1536250114440918,-7.064887523651123
1717012781600287000,0.635286865234375,-3.3176000118255615,-0.5396875143051147,-6.780674934387207
1717012781610171600,0.645171630859375,-3.854949951171875,0.42666250467300415,-5.995412349700928
1717012781620056600,0.655056640625,-3.975262403488159,1.2376375198364258,-4.897062301635742
1717012781629941200,0.664941162109375,-3.753887414932251,1.5695624351501465,-3.7158000469207764
1717012781639826200,0.674826171875,-3.4527623653411865,1.367437481880188,-2.636699914932251
1717012781649710800,0.6847109375,-3.3739750385284424,0.7416750192642212,-1.6736500263214111
1717012781659595500,0.694595458984375,-3.5996124744415283,-0.04908749833703041,-0.6785625219345093
1717012781669480400,0.70448046875,-4.009224891662598,-0.5343250036239624,0.4452250003814697
1717012781679365400,0.714365478515625,-4.342387676239014,-0.6023874878883362,1.5999499559402466
1717012781689250000,0.72425,-4.437125205993652,-0.38321250677108765,2.68331241607666
1717012781699135000,0.734135009765625,-4.296599864959717,0.010587500408291817,3.6165249347686768
